case,t_low,t_high,z_radius,xy_radius,dust_min_size,leaderboard,toposcore,surface_dice,voi_score
1004283650,0.3,0.75,1,0,100,0.7255876132678073,0.6059701492537314,0.9707534295689988,0.582951051835824
102536988,0.3,0.75,1,0,100,0.5410743379588402,0.24722604567544035,0.8459580301337022,0.48806061059832107
1029212680,0.3,0.75,1,0,100,0.6822890913297458,0.4950855478704041,0.9727662797643443,0.5522720830031546
1033784946,0.3,0.75,1,0,100,0.6724611912021331,0.5176805627037228,0.9398997298975216,0.5376917626482393
1059332280,0.3,0.75,1,0,100,0.5649101825460934,0.33044081916001394,0.8192023054248191,0.5115917997125786
1061356924,0.3,0.75,1,0,100,0.5140496424683489,0.11276948590381426,0.8169219615072898,0.5551317433418664
1159818141,0.3,0.75,1,0,100,0.6060603981041782,0.3760592641189656,0.8377229935942268,0.5715416317443119
1176487902,0.3,0.75,1,0,100,0.5579087500772797,0.2472254114045159,0.8492840839953065,0.5328334207359074
1189767014,0.3,0.75,1,0,100,0.46389034204795265,0.06668580176042863,0.757648270148001,0.5105934484800679
1235128733,0.3,0.75,1,0,100,0.6344341337345325,0.4639658848614073,0.8851560658840674,0.5298278434762479
1253813461,0.3,0.75,1,0,100,0.6789605459559973,0.4451427075150563,0.9756334021234095,0.5827029798808204
1261544272,0.3,0.75,1,0,100,0.6345757268933387,0.43980099502487563,0.8938541205138645,0.5422471034457813
1330705651,0.3,0.75,1,0,100,0.4670519218410837,0.06974755289838037,0.7870711719983063,0.48757927363474973
1341999317,0.3,0.75,1,0,100,0.5195342158921064,0.08837848181131763,0.8664894255023342,0.5421410640654117
1351645019,0.3,0.75,1,0,100,0.6612973421344983,0.4262686567164179,0.957962077971487,0.5660857652272929
1391167593,0.3,0.75,1,0,100,0.4616900582609062,0.04746108279377324,0.6593818136443668,0.6190517104207025
1430679851,0.3,0.75,1,0,100,0.5969480725756056,0.3993149009053095,0.8459324362559163,0.5173635703269772
1449602646,0.3,0.75,1,0,100,0.6734060071436797,0.47363184079601994,0.9354788975316243,0.5825681164823008
1460828631,0.3,0.75,1,0,100,0.4827649262093678,0.12544021465705182,0.7230428193596938,0.5487653572467412
1531506078,0.3,0.75,1,0,100,0.682083304867824,0.43496801705756927,0.9278383980064434,0.6481413155665657
1578248244,0.3,0.75,1,0,100,0.6299451689950102,0.42734913716290024,0.9175831967069512,0.5159608828534493
1589119778,0.3,0.75,1,0,100,0.5425436219370748,0.09303482587064676,0.9179015260709735,0.5524789715744004
1596691633,0.3,0.75,1,0,100,0.6744155958934126,0.485348377728582,0.9577442161502224,0.5531445912064576
1613378452,0.3,0.75,1,0,100,0.7109577886474371,0.4134328358208955,0.9829084694582512,0.6940284959736587
1625909146,0.3,0.75,1,0,100,0.6380092499255623,0.3403330251955808,0.9679947539651788,0.5631747956545018
1639956906,0.3,0.75,1,0,100,0.5291771318850357,0.10149253731343284,0.8383880065379882,0.5865530525791713
1643996246,0.3,0.75,1,0,100,0.5170399781106101,0.22333333333333333,0.7427327344618284,0.5430957744256292
1662041291,0.3,0.75,1,0,100,0.8868393041727025,1.0,0.9966668685423024,0.6800168576654191
1666298112,0.3,0.75,1,0,100,0.6903556798293718,0.4910929224843525,0.9613292677991997,0.590178741012418
1671010748,0.3,0.75,1,0,100,0.48057046557019223,0.05167322225347585,0.7552653217100878,0.5735018179874823
1704770049,0.3,0.75,1,0,100,0.6282622957488899,0.3432835820895523,0.9360608123624016,0.5647312479862393
1725830085,0.3,0.75,1,0,100,0.5801037652251477,0.09363169396500037,0.9426879999899347,0.6344955915404872
17283971,0.3,0.75,1,0,100,0.6474665216062905,0.40771056378882975,0.9218777295844592,0.5785604203288026
